carType,color,condition,currency,drive,city,country,make,manufacture_year,mileage,mileage_unit,model,model_variant,price_on_request,type,zip,manufacture_month,fuel_consumption_unit
Other,Red,Used,null,RHD,5987 Zuzwil,CH,Mercedes-Benz,1996,36600,kilometer,CL 600,CL 600,null,null,5987,1,l/100km
Other,Grey,Used,null,RHD,2155 Zuzwil,CH,Talbot,1982,182200,kilometer,MATRA,Murena 2.2,null,null,2155,4,
Station Wagon,Black,Used,null,RHD,2671 Zuzwil,CH,Audi,2000,51800,kilometer,RS4, Avant quattro,null,null,2671,11,l/100km
Station Wagon,Silver,Used,null,RHD,4991 Zuzwil,CH,Audi,2009,118800,kilometer,RS6, Avant 5.0 V10 quattro,null,null,4991,2,l/100km
Convertible / Roadster,Silver,Used,null,RHD,0 Zuzwil,CH,Renault,2000,8000,kilometer,SPORT SPIDER,Windschutzscheibe,null,null,0,9,
Limousine,Black,Used,null,RHD,4172 Zuzwil,CH,Audi,2001,49300,kilometer,S8, 4.2 quattro,null,null,4172,3,l/100km
Convertible / Roadster,Black,Used,null,RHD,698 Zuzwil,CH,Smart,2003,165000,kilometer,FORTWO, passion,null,null,698,7,l/100km
Limousine,Anthracite,Used,null,RHD,4966 Zuzwil,CH,Mercedes-Benz,2005,95400,kilometer,CLS 500,CLS 500,null,null,4966,1,l/100km
Station Wagon,Blue,Used,null,RHD,4172 Zuzwil,CH,Audi,2002,39300,kilometer,RS6, Avant quattro,null,null,4172,8,l/100km
Other,Black,Used,null,RHD,5204 Zuzwil,CH,Audi,2009,26500,kilometer,R8, Coupé 5.2,null,null,5204,7,l/100km
Station Wagon,Black,Used,null,RHD,4799 Zuzwil,CH,Bmw,2007,72000,kilometer,550,i Touring,null,null,4799,4,l/100km
Other,Black,Used,null,RHD,3600 Zuzwil,CH,Porsche,2001,59500,kilometer,911, Turbo,null,null,3600,1,l/100km
Convertible / Roadster,Red,Used,null,RHD,2989 Zuzwil,CH,Porsche,1990,148600,kilometer,944, S2 Cabriolet ABS,null,null,2989,4,
Subcompact,Grey,Antique Car / Restored,null,RHD,0 Zuzwil,CH,Renault,1969,45000,kilometer,,R8 Gordini,null,null,0,4,
SUV,Silver,Used,null,RHD,3950 Zuzwil,CH,Land Rover,1998,55800,kilometer,DISCOVERY, 3.9,null,null,3950,7,l/100km
Convertible / Roadster,Grey,Used,null,RHD,5204 Zuzwil,CH,Lamborghini,2011,4900,kilometer,GALLARDO, LP560-4 Spyder,null,null,5204,4,l/100km
Other,Silver,Used,null,RHD,3798 Zuzwil,CH,Mclaren,2012,1200,kilometer,12C,MP4- Coupé 3.8 V8,null,null,3798,3,l/100km
Other,Silver,Used,null,RHD,3600 Zuzwil,CH,Porsche,2001,26300,kilometer,911, Turbo,null,null,3600,6,l/100km
Other,Silver,Used,null,RHD,7011 Zuzwil,CH,Chevrolet,2010,24000,kilometer,CORVETTE, Z06,null,null,7011,3,l/100km
Convertible / Roadster,Black,Used,null,RHD,4971 Zuzwil,CH,Mercedes-Benz,1991,55300,kilometer,SL 500,SL 500,null,null,4971,9,
Other,Black,Used,null,RHD,1605 Zuzwil,CH,Renault,1972,68000,kilometer,Alpine A110,1600 S,null,null,1605,2,
Limousine,Black,Used,null,RHD,2497 Zuzwil,CH,Bmw,2007,99800,kilometer,525,xi,null,null,2497,1,l/100km
Convertible / Roadster,Silver,Used,null,RHD,5439 Zuzwil,CH,Mercedes-Benz,2007,29800,kilometer,SLR,McLaren,null,null,5439,10,
Limousine,Blue,Used,null,RHD,3980 Zuzwil,CH,Jaguar,1997,161400,kilometer,XJ, 4.0 Sovereign,null,null,3980,3,l/100km
Convertible / Roadster,Green,Used,null,RHD,5439 Zuzwil,CH,Mercedes-Benz,2003,23700,kilometer,CLK 55 AMG, Avantgarde,null,null,5439,12,l/100km
Other,Black,Used,null,RHD,3996 Zuzwil,CH,Jaguar,1999,89666,kilometer,XK,R S/C,null,null,3996,5,l/100km
Other,Black,Used,null,RHD,3996 Sursee,CH,Porsche,2011,6300,kilometer,911, GT3 RS,null,null,3996,11,l/100km
Limousine,Black,Used,null,RHD,4398 Zuzwil,CH,Bmw,1996,141000,kilometer,540,i,null,null,4398,7,l/100km
Limousine,Blue,Used,null,RHD,5998 Zuzwil,CH,Bentley,2012,29000,kilometer,CONTINENTAL, FlyingSpur6.0,null,null,5998,5,l/100km
Limousine,Blue,Used,null,RHD,4966 Zuzwil,CH,Mercedes-Benz,2004,51000,kilometer,CLS 500,CLS 500,null,null,4966,12,l/100km
Other,Black,Used,null,RHD,5998 Zuzwil,CH,Bentley,2005,142000,kilometer,CONTINENTAL, GT 6.0,null,null,5998,5,l/100km
Convertible / Roadster,Black,Used,null,RHD,4971 Zuzwil,CH,Mercedes-Benz,1992,129700,kilometer,SL 500,SL 500,null,null,4971,2,
SUV,Anthracite,Used,null,RHD,4806 Zuzwil,CH,Porsche,2010,2900,kilometer,CAYENNE, Turbo Techart Magnum Kit,null,null,4806,1,l/100km
